order_date,sales,year,month,day,dayofweek,quarter,is_weekend,sales_lag_1,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30
2015-02-14,576.726,2015,2,14,5,1,1,129.568,97.11200000000001,16.448,418.5508571428572,593.8703
2015-02-15,21.36,2015,2,15,6,1,1,576.726,134.38400000000001,288.06,487.06714285714287,612.5462333333332
2015-02-16,9.04,2015,2,16,0,1,0,21.36,330.512,19.536,470.9208571428572,603.6562333333333
2015-02-17,54.208,2015,2,17,1,1,0,9.04,180.32,4407.1,424.99628571428576,603.3063666666666
2015-02-18,37.784,2015,2,18,2,1,0,54.208,14.56,87.15799999999999,406.98028571428574,458.2099666666667
2015-02-20,95.59,2015,2,20,4,1,0,37.784,2043.4,40.544,410.29800000000006,456.5641666666667
2015-02-21,8.85,2015,2,21,5,1,1,95.59,129.568,54.83,132.03942857142857,458.39903333333336
2015-02-22,19.44,2015,2,22,6,1,1,8.85,576.726,9.94,114.794,456.86636666666675
2015-02-23,11.364,2015,2,23,0,1,0,19.44,21.36,3553.795,35.181714285714285,457.18303333333336
2015-02-24,55.672,2015,2,24,1,1,0,11.364,9.04,61.96,33.75371428571428,339.102
2015-02-27,19.456,2015,2,27,4,1,0,55.672,54.208,149.95,40.41542857142857,338.89239999999995
2015-03-01,2203.151,2015,3,1,6,1,1,19.456,37.784,299.964,35.45085714285714,334.5426
2015-03-02,47.76,2015,3,2,0,1,0,2203.151,95.59,64.864,344.78899999999993,397.98216666666667
2015-03-03,1345.892,2015,3,3,1,1,0,47.76,8.85,378.594,337.9561428571428,397.4120333333333
2015-03-04,370.452,2015,3,4,2,1,0,1345.892,19.44,2673.87,528.9621428571428,429.6553
2015-03-05,705.562,2015,3,5,3,1,0,370.452,11.364,40.08,579.1067142857142,352.8747
2015-03-07,1561.062,2015,3,7,5,1,1,705.562,55.672,1097.25,678.2778571428571,375.0574333333333
2015-03-10,741.956,2015,3,10,1,1,0,1561.062,19.456,426.67,893.3335714285714,390.51783333333333
2015-03-11,918.3140000000001,2015,3,11,2,1,0,741.956,2203.151,3.928,996.5478571428572,401.02736666666664
2015-03-14,2108.55,2015,3,14,5,1,1,918.3140000000001,47.76,240.5,812.9997142857144,431.5069
2015-03-15,370.78200000000004,2015,3,15,6,1,1,2108.55,1345.892,290.666,1107.3982857142857,493.77523333333335
2015-03-16,471.92,2015,3,16,0,1,0,370.78200000000004,370.452,468.9,968.0968571428572,496.44576666666666
2015-03-17,3960.358,2015,3,17,1,1,0,471.92,705.562,211.64600000000002,982.5922857142857,496.5464333333333
2015-03-18,28106.716,2015,3,18,2,1,0,3960.358,1561.062,97.11200000000001,1447.563142857143,621.5035
2015-03-19,590.762,2015,3,19,3,1,0,28106.716,741.956,134.38400000000001,5239.799428571429,1555.1569666666667
2015-03-21,4109.816,2015,3,21,5,1,1,590.762,918.3140000000001,330.512,5218.200285714286,1570.3695666666667
2015-03-22,464.09299999999996,2015,3,22,6,1,1,4109.816,2108.55,180.32,5674.129142857143,1696.3463666666664
2015-03-23,945.064,2015,3,23,0,1,0,464.09299999999996,370.78200000000004,14.56,5439.206714285714,1705.8054666666665
2015-03-24,65.38,2015,3,24,1,1,0,945.064,471.92,2043.4,5521.247,1736.8222666666666
2015-03-25,459.146,2015,3,25,2,1,0,65.38,3960.358,129.568,5463.169857142858,1670.8882666666666
2015-03-26,145.13,2015,3,26,3,1,0,459.146,28106.716,576.726,4962.996714285715,1681.8742
2015-03-28,1493.216,2015,3,28,5,1,1,145.13,590.762,21.36,968.4844285714286,1667.4876666666667
2015-03-29,890.841,2015,3,29,6,1,1,1493.216,4109.816,9.04,1097.4064285714285,1716.5495333333333
2015-03-30,1170.3220000000001,2015,3,30,0,1,0,890.841,464.09299999999996,54.208,637.5528571428571,1745.9429000000002
2015-03-31,1959.5520000000001,2015,3,31,1,1,0,1170.3220000000001,945.064,37.784,738.4427142857143,1783.1467
2015-04-01,119.88799999999999,2015,4,1,2,2,0,1959.5520000000001,65.38,95.59,883.3695714285714,1847.2056333333333
2015-04-02,1458.558,2015,4,2,3,2,0,119.88799999999999,459.146,8.85,891.1564285714286,1848.0155666666667
2015-04-04,475.84400000000005,2015,4,4,5,2,1,1458.558,145.13,19.44,1033.9295714285713,1896.3391666666669
2015-04-05,5179.738,2015,4,5,6,2,1,475.84400000000005,1493.216,11.364,1081.1744285714285,1911.5526333333332
2015-04-06,1650.69,2015,4,6,0,2,0,5179.738,890.841,55.672,1607.820428571429,2083.8317666666667
2015-04-07,1021.1700000000001,2015,4,7,1,2,0,1650.69,1170.3220000000001,19.456,1716.3702857142857,2136.999033333333
2015-04-08,1958.75,2015,4,8,2,2,0,1021.1700000000001,1959.5520000000001,2203.151,1695.0628571428572,2170.3895
2015-04-11,1915.2399999999998,2015,4,11,5,2,1,1958.75,119.88799999999999,47.76,1694.948285714286,2162.2428
2015-04-12,1872.443,2015,4,12,6,2,1,1915.2399999999998,1458.558,1345.892,1951.4271428571428,2224.492133333333
2015-04-13,638.576,2015,4,13,0,2,0,1872.443,475.84400000000005,370.452,2010.5535714285718,2242.0438333333336
2015-04-15,294.71999999999997,2015,4,15,2,2,0,638.576,5179.738,705.562,2033.801,2250.9813
2015-04-16,39.072,2015,4,16,3,2,0,294.71999999999997,1650.69,1561.062,1335.9412857142856,2237.286566666667
2015-04-18,1020.532,2015,4,18,5,2,1,39.072,1021.1700000000001,741.956,1105.710142857143,2186.553566666667
2015-04-19,205.47,2015,4,19,6,2,1,1020.532,1958.75,918.3140000000001,1105.6190000000001,2195.8394333333335
2015-04-20,1250.45,2015,4,20,0,2,0,205.47,1915.2399999999998,2108.55,855.1504285714285,2172.0779666666667
2015-04-21,845.36,2015,4,21,1,2,0,1250.45,1872.443,370.78200000000004,760.1804285714287,2143.4746333333333
2015-04-22,257.752,2015,4,22,2,2,0,845.36,638.576,471.92,613.4542857142859,2159.2939
2015-04-23,643.98,2015,4,23,3,2,0,257.752,294.71999999999997,3960.358,559.0508571428572,2152.1549666666665
2015-04-25,2379.9939999999997,2015,4,25,5,2,1,643.98,39.072,28106.716,608.945142857143,2041.6090333333334
2015-04-26,282.568,2015,4,26,6,2,1,2379.9939999999997,1020.532,590.762,943.3625714285715,1184.0516333333335
2015-04-28,2578.476,2015,4,28,1,2,0,282.568,205.47,4109.816,837.9391428571429,1173.7785000000001
2015-04-29,768.8439999999999,2015,4,29,2,2,0,2578.476,1250.45,464.09299999999996,1176.9400000000003,1122.7338333333332
2015-04-30,1048.74,2015,4,30,3,2,0,768.8439999999999,845.36,945.064,1108.1391428571428,1132.8922
2015-05-02,506.12,2015,5,2,5,2,1,1048.74,257.752,65.38,1137.1934285714285,1136.3480666666667
2015-05-03,72.632,2015,5,3,6,2,1,506.12,643.98,459.146,1172.6745714285714,1151.0394000000001
2015-05-04,187.43200000000002,2015,5,4,0,2,0,72.632,2379.9939999999997,145.13,1091.0534285714286,1138.1555999999998
2015-05-05,260.977,2015,5,5,1,2,0,187.43200000000002,282.568,1493.216,777.8302857142859,1139.5656666666666
2015-05-06,254.456,2015,5,6,2,2,0,260.977,2578.476,890.841,774.7458571428572,1098.4910333333332
2015-05-07,1091.35,2015,5,7,3,2,0,254.456,768.8439999999999,1170.3220000000001,442.7430000000001,1077.2782
2015-05-08,1799.97,2015,5,8,4,2,0,1091.35,1048.74,1959.5520000000001,488.8152857142858,1074.6458
2015-05-09,394.47999999999996,2015,5,9,5,2,1,1799.97,506.12,119.88799999999999,596.1338571428572,1069.3264000000001
2015-05-10,2343.799,2015,5,10,6,2,1,394.47999999999996,72.632,1458.558,580.1852857142859,1078.4794666666667
2015-05-11,1642.802,2015,5,11,0,2,0,2343.799,187.43200000000002,475.84400000000005,904.6377142857144,1107.9875
2015-05-12,734.846,2015,5,12,1,2,0,1642.802,260.977,5179.738,1112.5477142857144,1146.8861
2015-05-13,898.382,2015,5,13,2,2,0,734.846,254.456,1650.69,1180.243285714286,998.7230333333334
2015-05-14,310.88,2015,5,14,3,2,0,898.382,1091.35,1021.1700000000001,1272.2327142857143,973.6460999999999
2015-05-16,289.28,2015,5,16,5,2,1,310.88,1799.97,1958.75,1160.737,949.9697666666667
2015-05-17,91.68,2015,5,17,6,2,1,289.28,394.47999999999996,1915.2399999999998,944.9241428571429,894.3207666666666
2015-05-18,944.964,2015,5,18,0,2,0,91.68,2343.799,1872.443,901.6670000000001,833.5354333333332
2015-05-19,91.62,2015,5,19,1,2,0,944.964,1642.802,638.576,701.8334285714287,802.6194666666667
2015-05-20,320.10400000000004,2015,5,20,2,2,0,91.62,734.846,294.71999999999997,480.23600000000016,784.3875999999999
2015-05-21,4264.3279999999995,2015,5,21,3,2,0,320.10400000000004,898.382,39.072,420.98714285714294,785.2337333333334
2015-05-22,180.93,2015,5,22,4,2,0,4264.3279999999995,310.88,1020.532,901.8365714285716,926.0756
2015-05-23,323.758,2015,5,23,5,2,1,180.93,289.28,205.47,883.2722857142859,898.0888666666666
2015-05-24,116.28,2015,5,24,6,2,1,323.758,91.68,1250.45,888.1977142857144,902.0318
2015-05-25,119.53999999999999,2015,5,25,0,2,0,116.28,944.964,845.36,891.7120000000001,864.2261333333333
2015-05-26,1325.7179999999998,2015,5,26,1,2,0,119.53999999999999,91.62,257.752,773.7942857142858,840.0321333333334
2015-05-27,2157.394,2015,5,27,2,2,0,1325.7179999999998,320.10400000000004,643.98,950.094,875.6309999999999
2015-05-28,221.96800000000002,2015,5,28,3,2,0,2157.394,4264.3279999999995,2379.9939999999997,1212.564,926.0781333333332
2015-05-30,1924.913,2015,5,30,5,2,1,221.96800000000002,180.93,282.568,635.0840000000001,854.1439333333333
2015-05-31,773.7,2015,5,31,6,2,1,1924.913,323.758,2578.476,884.2244285714287,908.8887666666667
2015-06-01,5188.5199999999995,2015,6,1,0,2,0,773.7,116.28,768.8439999999999,948.5018571428573,848.7295666666666
2015-06-02,738.598,2015,6,2,1,2,0,5188.5199999999995,119.53999999999999,1048.74,1673.1075714285714,996.0521000000001
2015-06-03,531.16,2015,6,3,2,2,0,738.598,1325.7179999999998,506.12,1761.5444285714286,985.7140333333333
2015-06-04,456.272,2015,6,4,3,2,0,531.16,2157.394,72.632,1648.036142857143,986.5486999999999
2015-06-06,1374.001,2015,6,6,5,2,1,456.272,221.96800000000002,187.43200000000002,1405.0187142857144,999.3367
2015-06-07,281.397,2015,6,7,6,2,1,1374.001,1924.913,260.977,1569.5948571428573,1038.889
2015-06-08,2501.264,2015,6,8,0,2,0,281.397,773.7,254.456,1334.8068571428573,1039.5696666666668
2015-06-09,5463.008,2015,6,9,1,2,0,2501.264,5188.5199999999995,1091.35,1581.6017142857143,1114.4632666666666
2015-06-10,491.55,2015,6,10,2,2,0,5463.008,738.598,1799.97,1620.814285714286,1260.1852
2015-06-13,14.52,2015,6,13,5,2,1,491.55,531.16,394.47999999999996,1585.5217142857143,1216.5711999999999
2015-06-14,212.94,2015,6,14,6,2,1,14.52,456.272,2343.799,1511.7160000000001,1203.9058666666667
2015-06-15,942.9739999999999,2015,6,15,0,2,0,212.94,1374.001,1642.802,1476.9542857142858,1132.8772333333334
2015-06-16,763.792,2015,6,16,1,2,0,942.9739999999999,281.397,734.846,1415.3790000000001,1109.5496333333333
2015-06-17,3356.4860000000003,2015,6,17,2,2,0,763.792,2501.264,898.382,1484.2925714285716,1110.5145
2015-06-18,139.8,2015,6,18,3,2,0,3356.4860000000003,5463.008,310.88,1606.467142857143,1192.4513
2015-06-20,1828.9496,2015,6,20,5,2,1,139.8,491.55,289.28,846.0088571428572,1186.7486333333334
2015-06-21,4107.443,2015,6,21,6,2,1,1828.9496,14.52,91.68,1037.065942857143,1238.0709533333331
2015-06-22,1975.498,2015,6,22,0,2,0,4107.443,212.94,944.964,1621.7692285714288,1371.9297199999999
2015-06-23,109.49600000000001,2015,6,23,1,2,0,1975.498,942.9739999999999,91.62,1873.5632285714287,1406.2808533333332
2015-06-24,4.272,2015,6,24,2,2,0,109.49600000000001,763.792,320.10400000000004,1754.494942857143,1406.87672
2015-06-25,792.76,2015,6,25,3,2,0,4.272,3356.4860000000003,4264.3279999999995,1645.9920857142858,1396.3489866666669
